label,word,count,rank
0,issuer,199,1.0
0,company,154,2.0
0,depository,137,3.0
0,stock,134,4.0
0,security,134,5.0
0,board,126,6.0
0,share,125,7.0
0,exchange,119,8.0
0,recognise,109,9.0
0,acquirer,83,10.0
0,corporation,77,11.0
0,person,67,12.0
0,participant,66,13.0
0,public,60,14.0
0,investor,58,15.0
0,target,57,16.0
0,issue,57,17.0
0,list,56,18.0
0,offer,55,19.0
0,debt,54,20.0
0,entity,54,21.0
0,director,48,22.0
0,clear,47,23.0
0,right,45,24.0
0,clearing,43,25.0
0,designate,43,26.0
0,foreign,41,27.0
0,portfolio,40,28.0
0,case,39,29.0
0,fund,36,30.0
0,non,33,31.0
0,convertible,31,32.0
0,recognize,30,33.0
0,shareholder,29,34.0
0,trustee,29,35.0
0,voting,29,36.0
0,municipal,27,37.0
0,acquisition,27,38.0
0,rating,26,39.0
0,sub,26,40.0
0,document,25,41.0
0,act,23,42.0
0,equity,22,43.0
0,holder,20,44.0
0,redeemable,20,45.0
0,debenture,20,46.0
0,specify,19,47.0
0,investment,19,48.0
0,hold,18,49.0
0,preference,18,50.0
0,member,18,51.0
0,trust,18,52.0
0,disclosure,17,53.0
0,account,17,54.0
0,asset,17,55.0
0,manager,17,56.0
0,employee,16,57.0
0,price,16,58.0
0,promoter,16,59.0
0,government,15,60.0
0,bank,15,61.0
0,concert,15,62.0
0,trading,15,63.0
0,financial,14,64.0
0,credit,14,65.0
0,capital,14,66.0
0,date,14,67.0
0,acquire,14,68.0
0,agent,14,69.0
0,beneficial,13,70.0
0,control,13,71.0
0,unit,13,72.0
0,intermediary,13,73.0
0,announcement,13,74.0
0,provision,13,75.0
0,shareholding,12,76.0
0,valuer,12,77.0
0,owner,12,78.0
0,group,12,79.0
0,market,12,80.0
0,grant,12,81.0
0,register,12,82.0
0,application,11,83.0
0,transaction,11,84.0
0,corporate,11,85.0
0,open,11,86.0
0,institution,11,87.0
0,buy,11,88.0
0,instrument,11,89.0
0,subsidiary,10,90.0
0,record,10,91.0
0,law,10,92.0
0,include,10,93.0
0,settlement,10,94.0
0,banker,10,95.0
0,merchant,10,96.0
0,central,10,97.0
0,certificate,10,98.0
0,govern,10,99.0
0,trade,10,100.0
0,form,9,101.0
0,applicant,9,102.0
0,period,9,103.0
0,refer,9,104.0
0,mutual,9,105.0
0,appointment,9,106.0
0,recognition,9,107.0
0,time,9,108.0
0,cent,9,109.0
0,advertisement,9,110.0
0,holding,9,111.0
0,deed,9,112.0
0,registration,9,113.0
0,total,9,114.0
0,key,8,115.0
0,respect,8,116.0
0,state,8,117.0
0,value,8,118.0
0,approval,8,119.0
0,management,8,120.0
0,purpose,8,121.0
0,personnel,8,122.0
0,draft,8,123.0
0,india,8,124.0
0,option,8,125.0
0,charge,7,126.0
0,subscription,7,127.0
0,information,7,128.0
0,manage,7,129.0
0,invit,7,130.0
0,client,7,131.0
0,associate,7,132.0
0,pay,7,133.0
0,agreement,7,134.0
0,agency,7,135.0
0,derivative,7,136.0
0,primary,6,137.0
0,dividend,6,138.0
0,transfer,6,139.0
0,copy,6,140.0
0,transferor,6,141.0
0,reit,6,142.0
0,sponsor,6,143.0
0,receipt,6,144.0
0,number,6,145.0
0,raise,6,146.0
0,desirous,6,147.0
0,scheme,6,148.0
0,sar,6,149.0
0,parameter,6,150.0
0,seek,6,151.0
0,provide,6,152.0
0,sebi,6,153.0
0,bond,6,154.0
0,valuation,6,155.0
0,obtain,6,156.0
0,venture,6,157.0
0,shall,6,158.0
0,appoint,5,159.0
0,takeover,5,160.0
0,requirement,5,161.0
0,municipality,5,162.0
0,resolution,5,163.0
0,volume,5,164.0
0,result,5,165.0
0,condition,5,166.0
0,payable,5,167.0
0,special,5,168.0
0,meeting,5,169.0
0,auditor,5,170.0
0,property,5,171.0
0,service,5,172.0
0,prospectus,5,173.0
0,conversion,5,174.0
0,purchase,5,175.0
0,association,5,176.0
0,entitle,5,177.0
0,lead,5,178.0
0,pursuant,5,179.0
0,file,5,180.0
0,behalf,5,181.0
0,bye,5,182.0
0,letter,5,183.0
0,registered,4,184.0
0,arrangement,4,185.0
0,day,4,186.0
0,permissible,4,187.0
0,memorandum,4,188.0
0,placement,4,189.0
0,individual,4,190.0
0,pledge,4,191.0
0,custodian,4,192.0
0,maximum,4,193.0
0,matter,4,194.0
0,concerned,4,195.0
0,statement,4,196.0
0,specific,4,197.0
0,payment,4,198.0
0,adviser,4,199.0
0,page,4,200.0
0,governing,4,201.0
0,deposit,4,202.0
0,revision,4,203.0
0,profit,4,204.0
0,say,4,205.0
0,tax,4,206.0
0,vote,4,207.0
0,whichever,4,208.0
0,redemption,4,209.0
0,detailed,4,210.0
0,guarantee,4,211.0
0,reserve,4,212.0
0,officer,4,213.0
0,obligation,4,214.0
0,increase,4,215.0
0,minimum,4,216.0
